Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Gannavaram,71,YARLAGADDA VENKATA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,VAMSI VALLABHANENI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",37628,23/23,Result Declared
Gannavaram(SC),46,GIDDI. SATYANARAYANA,Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,VIPPARTHI . VENUGOPALARAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",33367,19/19,Result Declared
Giddalur,112,ASHOK REDDY MUTHUMULA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KUNDURU NAGARJUNA REDDY (KP),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",973,21/21,Result Declared
Gopalapuram,66,MADDIPATI VENKATA RAJU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,TANETI VANITA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",26784,18/18,Result Declared
Gudivada,72,VENIGANDLA RAMU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KODALI SRI VENKATESWARA RAO (NANI),"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",53040,17/17,Result Declared
Gudur,120,PASIM SUNIL KUMAR,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MERIGA MURALIDHAR,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",21192,21/21,Result Declared
Guntakal,150,GUMMANUR JAYARAM,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,Y. VENKATA RAMA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",6826,20/20,Result Declared
Guntur East,95,MOHAMMED NASEER AHMED,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,NOORI FATHIMA SHAIK,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",31962,19/19,Result Declared
Guntur West,94,GALLA MADHAVI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,RAJINI VIDADALA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",51150,21/21,Result Declared
Gurajala,100,YARAPATHINENI SRINIVASA RAO,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,KASU MAHESH REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",29486,23/23,Result Declared
Hindupur,157,NANDAMURI BALAKRISHNA,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,DEEPIKA T N,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",32597,19/19,Result Declared
Ichchapuram,1,ASHOK BENDALAM,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,PIRIYA VIJAYA,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",39783,22/22,Result Declared
Jaggampeta,52,JYOTHULA NEHRU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,THOTA NARASIMHAM,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",52676,18/18,Result Declared
Jaggayyapeta,84,RAJAGOPAL SREERAM (TATAIAH),Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,UDAYA BHANU SAMINENI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",15977,16/16,Result Declared
Jammalamadugu,131,ADINARAYANA REDDY CHADIPIRALA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,MULE SUDHEER REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",17191,23/23,Result Declared
Kadapa,126,MADHAVI REDDAPPA GARI,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,AMZATH BASHA SHAIK BEPARI,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",18860,21/21,Result Declared
Kadiri,161,KANDIKUNTA VENKATA PRASAD,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,MAQBOOL B.S.,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",6265,21/21,Result Declared
Kaikalur,73,KAMINENI SRINIVAS,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:8Trailing In:0,DULAM NAGESWARA RAO,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",45273,17/17,Result Declared
Kakinada City,41,VANAMADI VENKATESWARA RAO @ KONDABABU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,DWARAMPUDI CHANDRASEKHARA REDDY,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",56572,17/17,Result Declared
Kakinada Rural,38,PANTAM VENKATESWARA RAO (PANTAM NANAJI),Janasena PartyiParty Wise State TrendsLeading In:0Won In:21Trailing In:0,KURASALA KANNA BABU,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",72040,20/20,Result Declared
Kalyandurg,154,AMILINENI SURENDRA BABU,Telugu DesamiParty Wise State TrendsLeading In:0Won In:135Trailing In:0,TALARI RANGAIAH,"Yuvajana Sramika Rythu Congress Party
iParty Wise State TrendsLeading In:0Won In:11Trailing In:0",37734,19/19,Result Declared
