Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
Bijepur,2,SANAT KUMAR GARTIA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RITA SAHU,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",10066,22/22,Result Declared
Binjharpur,48,PRAMILA MALLIK,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,BABITA MALLICK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",2856,20/20,Result Declared
Biramitrapur,10,ROHIT JOSEPH TIRKEY,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SHANKAR ORAM,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",6884,22/22,Result Declared
Birmaharajpur,64,RAGHUNATH JAGADALA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PADMANABHA BEHERA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",21946,23/23,Result Declared
Bissam Cuttack,139,NILAMADHAB HIKAKA,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,JAGANNATH SARAKA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",9403,30/30,Result Declared
Bolangir,68,KALIKESH NARAYAN SINGH DEO,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SAMARENDRA MISHRA,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",13409,20/20,Result Declared
Bonai,14,LAXMAN MUNDA,Communist Party of India  (Marxist)iParty Wise State TrendsLeading In:0Won In:1Trailing In:0,BHIMSEN CHOUDHURY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",23439,23/23,Result Declared
Boudh,86,SAROJ KUMAR PRADHAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PRADIP KUMAR AMAT,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",2765,17/17,Result Declared
Brahmagiri,108,UPASNA MOHAPATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,UMAKANTA SAMANTARAY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",9830,28/28,Result Declared
Brajarajnagar,6,SURESH PUJARI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,ALAKA MOHANTY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",26789,19/19,Result Declared
Champua,25,SANATAN MAHAKUD,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,MURALI MANOHAR SHARMA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",39994,19/19,Result Declared
Chandabali,47,BYOMAKESH RAY,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,MANMOHAN SAMAL,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",1916,20/20,Result Declared
Chhatrapur,127,KRUSHNA CHANDRA NAYAK,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SUBASH CHANDRA BEHERA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",11438,19/19,Result Declared
Chhendipada,62,AGASTI BEHERA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SUSANTA KUMAR BEHERA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",15063,20/20,Result Declared
Chikiti,135,MANORANJAN DYAN SAMANTARA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,CHINMAYANANDA SRIRUP DEB,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",6522,18/18,Result Declared
Chilika,118,PRITHIVIRAJ HARICHANDAN,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,RAGHUNATH SAHU,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",4566,18/18,Result Declared
Chitrakonda,147,MANGU KHILLA,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,DAMBARU SISA,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",9159,31/31,Result Declared
Choudwar-Cuttack,91,SOUVIC BISWAL,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,NAYAN KISHORE MOHANTY,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",17816,22/22,Result Declared
Cuttack Sadar,93,PRAKASH CHANDRA SETHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,CHANDRA SARATHI BEHERA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",3809,26/26,Result Declared
Dabugam,76,MANOHAR RANDHARI,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,LIPIKA MAJHI,"Indian National Congress
iParty Wise State TrendsLeading In:0Won In:14Trailing In:0",21455,25/25,Result Declared
Daspalla,121,RAMESH CHANDRA BEHERA,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,RAGHAB MALIK,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",6296,18/18,Result Declared
Deogarh,19,ROMANCHA RANJAN BISWAL,Biju Janata DaliParty Wise State TrendsLeading In:0Won In:51Trailing In:0,SUBASH CHANDRA PANIGRAHI,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",15792,27/27,Result Declared
Dhamnagar,46,SURYABANSHI SURAJ STHITAPRAJNA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SANJAYA KUMAR DAS,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",8095,19/19,Result Declared
Dharamgarh,79,SUDHIR RANJAN PATTJOSHI,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,PUSPENDRA SINGH DEO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",18927,23/23,Result Declared
Dharmasala,51,HIMANSHU SEKHAR SAHOO F-LATE RAMESH CHANDRA SAHOO,IndependentiParty Wise State TrendsLeading In:0Won In:3Trailing In:0,PRANAB KUMAR BALABANTARAY,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",4150,22/22,Result Declared
Dhenkanal,55,KRUSHNA CHANDRA PATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,SUDHIR KUMAR SAMAL,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",20439,28/28,Result Declared
Digapahandi,134,SIDHANT MOHAPATRA,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,BIPLAB PATRO,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",16847,20/20,Result Declared
Ekamra-Bhubaneswar,114,BABU SINGH,Bharatiya Janata PartyiParty Wise State TrendsLeading In:0Won In:78Trailing In:0,ASHOK CHANDRA PANDA,"Biju Janata Dal
iParty Wise State TrendsLeading In:0Won In:51Trailing In:0",5023,21/21,Result Declared
G. Udayagiri,83,PRAFULLA CHANDRA PRADHAN,Indian National CongressiParty Wise State TrendsLeading In:0Won In:14Trailing In:0,MANAGOBINDA PRADHAN,"Bharatiya Janata Party
iParty Wise State TrendsLeading In:0Won In:78Trailing In:0",7857,23/23,Result Declared
